id;quote;author
0;Age is an issue of mind over matter. If you don't mind, it doesn't matter.;Mark Twain
1;Anyone who stops learning is old, whether at twenty or eighty. Anyone who keeps learning stays young. The greatest thing in life is to keep your mind young.;Henry Ford
2;Wrinkles should merely indicate where smiles have been.;Mark Twain
3;True terror is to wake up one morning and discover that your high school class is running the country.;Kurt Vonnegut
4;A diplomat is a man who always remembers a woman's birthday but never remembers her age.;Robert Frost
5;As I grow older, I pay less attention to what men say. I just watch what they do.;Andrew Carnegie
6;How incessant and great are the ills with which a prolonged old age is replete.;C. S. Lewis
7;Old age, believe me, is a good and pleasant thing. It is true you are gently shouldered off the stage, but then you are given such a comfortable front stall as spectator.;Confucius
8;Old age has deformities enough of its own. It should never add to them the deformity of vice.;Eleanor Roosevelt
9;Nobody grows old merely by living a number of years. We grow old by deserting our ideals. Years may wrinkle the skin, but to give up enthusiasm wrinkles the soul.;Samuel Ullman
10;An archaeologist is the best husband a woman can have. The older she gets the more interested he is in her.;Agatha Christie
11;All diseases run into one, old age.;Ralph Waldo Emerson
12;Bashfulness is an ornament to youth, but a reproach to old age.;Aristotle
13;Like everyone else who makes the mistake of getting older, I begin each day with coffee and obituaries.;Bill Cosby
14;Age appears to be best in four things old wood best to burn, old wine to drink, old friends to trust, and old authors to read.;Francis Bacon
15;None are so old as those who have outlived enthusiasm.;Henry David Thoreau
16;Every man over forty is a scoundrel.;George Bernard Shaw
17;Forty is the old age of youth fifty the youth of old age.;Victor Hugo
18;You can't help getting older, but you don't have to get old.;George Burns
19;Alas, after a certain age every man is responsible for his face.;Albert Camus
20;Youth is when you're allowed to stay up late on New Year's Eve. Middle age is when you're forced to.;Bill Vaughan
21;Old age is like everything else. To make a success of it, you've got to start young.;Theodore Roosevelt
22;A comfortable old age is the reward of a well-spent youth. Instead of its bringing sad and melancholy prospects of decay, it would give us hopes of eternal youth in a better world.;Maurice Chevalier
23;A man growing old becomes a child again.;Sophocles
24;I will never be an old man. To me, old age is always 15 years older than I am.;Francis Bacon
25;Age considers youth ventures.;Rabindranath Tagore
26;What most persons consider as virtue, after the age of 40 is simply a loss of energy.;Voltaire
27;Age is a very high price to pay for maturity.;Tom Stoppard
28;Old age is no place for sissies.;Bette Davis
29;I don't feel old. I don't feel anything till noon. That's when it's time for my nap.;Bob Hope
30;As I approve of a youth that has something of the old man in him, so I am no less pleased with an old man that has something of the youth. He that follows this rule may be old in body, but can never be so in mind.;Marcus Tullius Cicero
31;I don't believe one grows older. I think that what happens early on in life is that at a certain age one stands still and stagnates.;T. S. Eliot
32;Advice in old age is foolish for what can be more absurd than to increase our provisions for the road the nearer we approach to our journey's end.;Marcus Tullius Cicero
33;When grace is joined with wrinkles, it is adorable. There is an unspeakable dawn in happy old age.;Victor Hugo
34;It takes a long time to become young.;Pablo Picasso
35;After thirty, a body has a mind of its own.;Bette Midler
36;There is a fountain of youth: it is your mind, your talents, the creativity you bring to your life and the lives of people you love. When you learn to tap this source, you will truly have defeated age.;Sophia Loren
37;Age is not a particularly interesting subject. Anyone can get old. All you have to do is live long enough.;Don Marquis
38;Old minds are like old horses you must exercise them if you wish to keep them in working order.;John Adams
39;Forty is the old age of youth, fifty is the youth of old age.;Hosea Ballou
40;Youth is the gift of nature, but age is a work of art.;Stanislaw Lec
41;Preparation for old age should begin not later than one's teens. A life which is empty of purpose until 65 will not suddenly become filled on retirement.;Dwight L. Moody
42;There is always some specific moment when we become aware that our youth is gone but, years after, we know it was much later.;Mignon McLaughlin
43;Growing old is no more than a bad habit which a busy person has no time to form.;Andre Maurois
44;As long as any adult thinks that he, like the parents and teachers of old, can become introspective, invoking his own youth to understand the youth before him, he is lost.;Margaret Mead
45;Old age is fifteen years older than I am.;Oliver Wendell Holmes
46;Aging is not lost youth but a new stage of opportunity and strength.;Betty Friedan
47;The great secret that all old people share is that you really haven't changed in seventy or eighty years. Your body changes, but you don't change at all. And that, of course, causes great confusion.;Doris Lessing
48;The trick is growing up without growing old.;Casey Stengel
49;Old age comes on suddenly, and not gradually as is thought.;Emily Dickinson
50;I think your whole life shows in your face and you should be proud of that.;Lauren Bacall
51;I'm happy to report that my inner child is still ageless.;James Broughton
52;Youth is the best time to be rich, and the best time to be poor.;Euripides
53;It is sad to grow old but nice to ripen.;Brigitte Bardot
54;One of the many things nobody ever tells you about middle age is that it's such a nice change from being young.;William Feather
55;After you're older, two things are possibly more important than any others: health and money.;Helen Gurley Brown
56;You end up as you deserve. In old age you must put up with the face, the friends, the health, and the children you have earned.;Judith Viorst
57;I'm not interested in age. People who tell me their age are silly. You're as old as you feel.;Henri Frederic Amiel
58;Inflation is when you pay fifteen dollars for the ten-dollar haircut you used to get for five dollars when you had hair.;Sam Ewing
59;My notion of a wife at 40 is that a man should be able to change her, like a bank note, for two 20s.;Warren Beatty
60;As you age naturally, your family shows more and more on your face. If you deny that, you deny your heritage.;Frances Conroy
61;Old age is like a plane flying through a storm. Once you're aboard, there's nothing you can do.;Golda Meir
62;In youth the days are short and the years are long. In old age the years are short and day's long.;Pope Paul VI
63;The aging process has you firmly in its grasp if you never get the urge to throw a snowball.;Doug Larson
64;Age is how we determine how valuable you are.;Jane Elliot
65;Middle age is when your age starts to show around your middle.;Bob Hope
66;Aging seems to be the only available way to live a long life.;Kitty O'Neill Collins
67;I think when the full horror of being fifty hits you, you should stay home and have a good cry.;Josh Billings
68;To keep the heart unwrinkled, to be hopeful, kindly, cheerful, reverent that is to triumph over old age.;Amos Bronson Alcott
69;If you're old, don't try to change yourself, change your environment.;B. F. Skinner
70;Old age is an excellent time for outrage. My goal is to say or do at least one outrageous thing every week.;Louis Kronenberger
71;I want to get old gracefully. I want to have good posture, I want to be healthy and be an example to my children.;Sting
72;You know you're getting old when all the names in your black book have M. D. after them.;Harrison Ford
73;What makes old age so sad is not that our joys but our hopes cease.;Jean Paul
74;Old age is a shipwreck.;Charles de Gaulle
75;While one finds company in himself and his pursuits, he cannot feel old, no matter what his years may be.;Amos Bronson Alcott
76;To resist the frigidity of old age, one must combine the body, the mind, and the heart. And to keep these in parallel vigor one must exercise, study, and love.;Alan Bleasdale
77;Old age is the most unexpected of all the things that can happen to a man.;James Thurber
78;No one can avoid aging, but aging productively is something else.;Katharine Graham
79;If you haven't turned rebel by twenty you've got no heart if you haven't turned establishment by thirty you've got no brains!;Kevin Spacey
80;Oh rage! Oh despair! Oh age, my enemy!;Pierre Corneille
81;I don't want to fight aging I want to take good care of myself, but plastic surgery and all that? I'm not interested.;Christine Lahti
82;Middle age is the time when a man is always thinking that in a week or two he will feel as good as ever.;Don Marquis
83;We should so provide for old age that it may have no urgent wants of this world to absorb it from meditation on the next. It is awful to see the lean hands of dotage making a coffer of the grave.;Pearl S. Buck
84;Middle age is the awkward period when Father Time starts catching up with Mother Nature.;Harold Coffin
85;Middle age is youth without levity, and age without decay.;Doris Day
86;No man is ever old enough to know better.;Holbrook Jackson
87;The denunciation of the young is a necessary part of the hygiene of older people, and greatly assists the circulation of the blood.;Logan P. Smith
88;In youth we run into difficulties. In old age difficulties run into us.;Beverly Sills
89;We pay when old for the excesses of youth.;J. B. Priestley
